MU,time
84.76,12/8/21 8:30
85.17,12/8/21 8:45
85.16,12/8/21 9:00
84.93,12/8/21 9:15
85.32,12/8/21 9:30
85.08,12/8/21 9:45
85.39,12/8/21 10:00
85.65,12/8/21 10:15
85.75,12/8/21 10:30
85.78,12/8/21 10:45
85.74,12/8/21 11:00
85.76,12/8/21 11:15
85.6,12/8/21 11:30
85.7,12/8/21 11:45
85.56,12/8/21 12:00
85.75,12/8/21 12:15
85.72,12/8/21 12:30
85.89,12/8/21 12:45
85.96,12/8/21 13:00
85.83,12/8/21 13:15
85.68,12/8/21 13:30
85.67,12/8/21 13:45
85.79,12/8/21 14:00
85.8,12/8/21 14:16
86.15,12/8/21 14:31
86.12,12/8/21 14:45
86.02,12/8/21 15:01
85.32,12/09/21 08:31
86.17,12/09/21 08:45
86.18,12/09/21 09:01
86.02,12/09/21 09:16
85.68,12/09/21 09:30
85.67,12/09/21 09:46
85.59,12/09/21 10:00
85.64,12/09/21 10:16
85.45,12/09/21 10:30
85.59,12/09/21 10:46
85.54,12/09/21 11:01
85.48,12/09/21 11:16
85.42,12/09/21 11:30
85.66,12/09/21 11:45
85.62,12/09/21 12:01
85.51,12/09/21 12:15
85.29,12/09/21 12:30
85.07,12/09/21 12:46
85.13,12/09/21 13:00
84.71,12/09/21 13:15
85.0,12/09/21 13:30
85.08,12/09/21 13:45
85.02,12/09/21 14:01
84.98,12/09/21 14:16
85.13,12/09/21 14:30
85.28,12/09/21 14:46
84.93,12/09/21 15:01
84.81,12/10/21 08:30
84.84,12/10/21 08:45
84.72,12/10/21 09:00
85.17,12/10/21 09:15
85.16,12/10/21 09:30
84.5,12/10/21 09:45
84.56,12/10/21 10:00
84.31,12/10/21 10:15
84.67,12/10/21 10:30
84.77,12/10/21 10:45
84.89,12/10/21 11:00
85.03,12/10/21 11:15
84.83,12/10/21 11:30
84.71,12/10/21 11:45
84.86,12/10/21 12:01
84.95,12/10/21 12:15
84.81,12/10/21 12:30
84.76,12/10/21 12:46
84.85,12/10/21 13:01
84.82,12/10/21 13:15
84.89,12/10/21 13:31
84.93,12/10/21 13:45
84.81,12/10/21 14:00
84.87,12/10/21 14:15
85.25,12/10/21 14:30
85.49,12/10/21 14:45
85.54,12/10/21 15:01
85.54,12/10/21 15:15
85.54,12/10/21 15:30
85.54,12/10/21 15:45
87.05,12/13/21 08:31
85.55,12/13/21 08:45
85.36,12/13/21 09:01
85.52,12/13/21 09:15
85.39,12/13/21 09:30
85.69,12/13/21 09:45
85.67,12/13/21 10:00
85.63,12/13/21 10:15
85.12,12/13/21 10:30
85.0,12/13/21 10:45
84.82,12/13/21 11:00
85.11,12/13/21 11:15
85.15,12/13/21 11:30
85.09,12/13/21 11:45
84.81,12/13/21 12:00
84.83,12/13/21 12:16
84.71,12/13/21 12:30
84.75,12/13/21 12:46
84.75,12/13/21 13:01
84.78,12/13/21 13:15
84.64,12/13/21 13:30
84.63,12/13/21 13:45
84.77,12/13/21 14:01
85.06,12/13/21 14:15
84.66,12/13/21 14:31
84.7,12/13/21 14:46
84.35,12/13/21 15:01
84.35,12/13/21 15:16
84.35,12/13/21 15:31
84.35,12/13/21 15:45
83.3,12/14/21 08:31
84.21,12/14/21 08:45
84.5,12/14/21 09:01
84.17,12/14/21 09:16
84.67,12/14/21 09:30
84.27,12/14/21 09:45
83.83,12/14/21 10:01
83.48,12/14/21 10:15
83.56,12/14/21 10:31
83.46,12/14/21 10:46
83.51,12/14/21 11:01
83.47,12/14/21 11:16
83.56,12/14/21 11:30
83.31,12/14/21 11:46
83.37,12/14/21 12:01
83.63,12/14/21 12:16
83.58,12/14/21 12:30
83.51,12/14/21 12:45
83.44,12/14/21 13:00
83.78,12/14/21 13:16
83.59,12/14/21 13:30
83.57,12/14/21 13:46
83.43,12/14/21 14:01
83.19,12/14/21 14:16
83.54,12/14/21 14:31
83.29,12/14/21 14:46
83.29,12/14/21 15:01
83.29,12/14/21 15:16
83.29,12/14/21 15:30
83.29,12/14/21 15:46
83.15,12/15/21 08:30
82.71,12/15/21 08:45
82.86,12/15/21 09:01
82.32,12/15/21 09:15
82.54,12/15/21 09:33
82.68,12/15/21 09:47
82.4,12/15/21 10:00
82.44,12/15/21 10:16
82.22,12/15/21 10:30
82.33,12/15/21 10:45
82.46,12/15/21 11:00
82.4,12/15/21 11:15
82.48,12/15/21 11:31
82.43,12/15/21 11:46
82.55,12/15/21 12:01
82.68,12/15/21 12:16
82.81,12/15/21 12:30
82.96,12/15/21 12:46
82.8,12/15/21 13:00
83.95,12/15/21 13:15
83.35,12/15/21 13:31
83.52,12/15/21 13:45
83.69,12/15/21 14:00
84.38,12/15/21 14:15
84.86,12/15/21 14:30
84.94,12/15/21 14:45
85.66,12/15/21 15:01
85.66,12/15/21 15:16
85.66,12/15/21 15:31
85.66,12/15/21 15:45
85.91,12/16/21 08:30
85.1,12/16/21 08:45
84.93,12/16/21 09:00
84.7,12/16/21 09:15
85.08,12/16/21 09:30
